Date,Open,High,Low,Close,Adj Close,Volume
2019-05-22,22.650000,22.768000,21.930000,22.000000,22.000000,569600
2019-05-23,21.750000,21.940001,21.010000,21.379999,21.379999,739600
2019-05-24,21.559999,22.000000,21.410000,21.830000,21.830000,744000
2019-05-28,22.299999,22.459999,21.440001,21.540001,21.540001,616000
2019-05-29,21.709999,21.898001,21.160000,21.700001,21.700001,490700
2019-05-30,21.840000,21.900000,21.049999,21.490000,21.490000,361300
2019-05-31,21.160000,21.379999,20.740000,20.780001,20.780001,443500
2019-06-03,20.790001,20.990000,18.820000,19.850000,19.850000,1031600
2019-06-04,19.760000,20.740000,19.230000,19.469999,19.469999,1077700
2019-06-05,19.200001,19.200001,17.200001,17.700001,17.700001,5046100
2019-06-06,17.830000,18.921000,17.610001,17.940001,17.940001,6066300
2019-06-07,17.709999,18.400000,17.299999,17.520000,17.520000,1892800
2019-06-10,17.850000,17.990000,15.670000,15.670000,15.670000,2574700
2019-06-11,16.090000,16.879999,15.750000,16.000000,16.000000,5614200
2019-06-12,16.110001,16.360001,15.620000,16.299999,16.299999,2042400
2019-06-13,16.420000,17.590000,16.049999,16.160000,16.160000,1607300
2019-06-14,16.250000,16.674999,15.320000,15.400000,15.400000,2080000
2019-06-17,15.540000,15.850000,15.280000,15.770000,15.770000,1220400
2019-06-18,15.900000,16.190001,15.578000,15.740000,15.740000,1120200
2019-06-19,15.750000,16.302000,15.370000,15.500000,15.500000,2831100
2019-06-20,15.850000,15.935000,14.860000,15.180000,15.180000,1605400
2019-06-21,15.200000,15.320000,14.500000,14.700000,14.700000,2115700
2019-06-24,14.410000,14.691000,14.020000,14.040000,14.040000,1327300
2019-06-25,14.110000,14.250000,13.650000,13.770000,13.770000,1935300
2019-06-26,13.920000,14.180000,13.650000,13.700000,13.700000,1112800
2019-06-27,13.500000,14.405000,13.500000,14.340000,14.340000,1724400
2019-06-28,14.410000,14.640000,14.110000,14.640000,14.640000,1657000
2019-07-01,14.860000,15.080000,14.470000,14.730000,14.730000,1134400
2019-07-02,14.710000,14.710000,14.000000,14.400000,14.400000,1202100
2019-07-03,14.500000,15.330000,14.400000,15.310000,15.310000,954500
2019-07-05,15.470000,15.470000,14.830000,14.960000,14.960000,970600
2019-07-08,14.890000,14.900000,14.140000,14.290000,14.290000,938300
2019-07-09,14.310000,14.850000,14.150000,14.850000,14.850000,739700
2019-07-10,14.940000,15.220000,14.050000,14.480000,14.480000,1770200
2019-07-11,14.560000,14.700000,14.120000,14.440000,14.440000,1135100
2019-07-12,14.270000,14.480000,14.060000,14.200000,14.200000,1084300
2019-07-15,14.280000,14.460000,14.000000,14.320000,14.320000,727600
2019-07-16,14.320000,14.475000,14.000000,14.140000,14.140000,1111000
2019-07-17,14.170000,14.590000,14.000000,14.030000,14.030000,1202300
2019-07-18,14.090000,14.280000,13.900000,14.260000,14.260000,756800
2019-07-19,14.290000,14.400000,14.010000,14.110000,14.110000,1042600
2019-07-22,14.220000,14.320000,13.910000,14.050000,14.050000,1058900
2019-07-23,14.060000,14.130000,13.120000,13.600000,13.600000,2053300
2019-07-24,13.750000,14.520000,13.473000,14.470000,14.470000,1167300
2019-07-25,14.510000,14.650000,13.500000,13.510000,13.510000,895500
2019-07-26,13.590000,14.180000,13.360000,14.120000,14.120000,669000
2019-07-29,14.170000,14.330000,13.560000,13.690000,13.690000,1049600
2019-07-30,13.610000,13.760000,13.290000,13.400000,13.400000,929500
2019-07-31,13.420000,13.510000,13.040000,13.100000,13.100000,1087500
2019-08-01,13.200000,13.400000,12.710000,13.010000,13.010000,1502100
2019-08-02,13.000000,13.037000,12.400000,12.730000,12.730000,1180300
2019-08-05,12.550000,12.690000,12.200000,12.260000,12.260000,1038200
2019-08-06,12.500000,12.868000,11.900000,12.290000,12.290000,2007700
2019-08-07,12.260000,14.500000,11.540000,12.850000,12.850000,3003000
2019-08-08,12.910000,13.300000,12.300000,13.190000,13.190000,1500900
2019-08-09,13.140000,13.550000,12.970000,13.330000,13.330000,744900
2019-08-12,13.420000,13.680000,12.984000,13.020000,13.020000,780300
2019-08-13,13.000000,13.395000,12.760000,13.300000,13.300000,559000
2019-08-14,13.080000,13.220000,12.500000,12.740000,12.740000,1362700
2019-08-15,12.720000,12.950000,12.470000,12.670000,12.670000,1162800
2019-08-16,12.850000,13.240000,12.790000,13.160000,13.160000,1105100
2019-08-19,13.250000,13.500000,13.020000,13.400000,13.400000,1914300
2019-08-20,13.870000,14.650000,13.600000,14.150000,14.150000,3366900
